TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
classicmodels,customers,customerNumber
classicmodels,customers,customerName
classicmodels,customers,contactLastName
classicmodels,customers,contactFirstName
classicmodels,customers,phone
classicmodels,customers,addressLine1
classicmodels,customers,city
classicmodels,customers,country
classicmodels,employees,employeeNumber
classicmodels,employees,lastName
classicmodels,employees,firstName
classicmodels,employees,extension
classicmodels,employees,email
classicmodels,employees,officeCode
classicmodels,employees,jobTitle
classicmodels,offices,officeCode
classicmodels,offices,city
classicmodels,offices,phone
classicmodels,offices,addressLine1
classicmodels,offices,country
classicmodels,offices,postalCode
classicmodels,offices,territory
classicmodels,orderdetails,orderNumber
classicmodels,orderdetails,productCode
classicmodels,orderdetails,quantityOrdered
classicmodels,orderdetails,priceEach
classicmodels,orderdetails,orderLineNumber
classicmodels,orders,orderNumber
classicmodels,orders,orderDate
classicmodels,orders,requiredDate
classicmodels,orders,status
classicmodels,orders,customerNumber
classicmodels,payments,customerNumber
classicmodels,payments,checkNumber
classicmodels,payments,paymentDate
classicmodels,payments,amount
classicmodels,productlines,productLine
classicmodels,products,productCode
classicmodels,products,productName
classicmodels,products,productLine
classicmodels,products,productScale
classicmodels,products,productVendor
classicmodels,products,productDescription
classicmodels,products,quantityInStock
classicmodels,products,buyPrice
classicmodels,products,MSRP
