TABLE_SCHEMA,TABLE_NAME
classicmodels,customers
classicmodels,employees
classicmodels,offices
classicmodels,orderdetails
classicmodels,orders
classicmodels,payments
classicmodels,productlines
classicmodels,products
mysql,columns_priv
mysql,component
mysql,db
mysql,default_roles
mysql,engine_cost
mysql,func
mysql,general_log
mysql,global_grants
mysql,gtid_executed
mysql,help_category
mysql,help_keyword
mysql,help_relation
mysql,help_topic
mysql,innodb_index_stats
mysql,innodb_table_stats
mysql,ndb_binlog_index
mysql,password_history
mysql,plugin
mysql,procs_priv
mysql,proxies_priv
mysql,replication_asynchronous_connection_failover
mysql,replication_asynchronous_connection_failover_managed
mysql,replication_group_configuration_version
mysql,replication_group_member_actions
mysql,role_edges
mysql,server_cost
mysql,servers
mysql,slave_master_info
mysql,slave_relay_log_info
mysql,slave_worker_info
mysql,slow_log
mysql,tables_priv
mysql,time_zone
mysql,time_zone_leap_second
mysql,time_zone_name
mysql,time_zone_transition
mysql,time_zone_transition_type
mysql,user
performance_schema,accounts
performance_schema,binary_log_transaction_compression_stats
performance_schema,cond_instances
performance_schema,data_lock_waits
performance_schema,data_locks
performance_schema,error_log
performance_schema,events_errors_summary_by_account_by_error
performance_schema,events_errors_summary_by_host_by_error
performance_schema,events_errors_summary_by_thread_by_error
performance_schema,events_errors_summary_by_user_by_error
performance_schema,events_errors_summary_global_by_error
performance_schema,events_stages_current
performance_schema,events_stages_history
performance_schema,events_stages_history_long
performance_schema,events_stages_summary_by_account_by_event_name
performance_schema,events_stages_summary_by_host_by_event_name
performance_schema,events_stages_summary_by_thread_by_event_name
performance_schema,events_stages_summary_by_user_by_event_name
performance_schema,events_stages_summary_global_by_event_name
performance_schema,events_statements_current
performance_schema,events_statements_histogram_by_digest
performance_schema,events_statements_histogram_global
performance_schema,events_statements_history
performance_schema,events_statements_history_long
performance_schema,events_statements_summary_by_account_by_event_name
performance_schema,events_statements_summary_by_digest
performance_schema,events_statements_summary_by_host_by_event_name
performance_schema,events_statements_summary_by_program
performance_schema,events_statements_summary_by_thread_by_event_name
performance_schema,events_statements_summary_by_user_by_event_name
performance_schema,events_statements_summary_global_by_event_name
performance_schema,events_transactions_current
