productLine,productVendor,product_count
Classic Cars,Classic Metal Creations,6
Classic Cars,Gearbox Collectibles,5
Classic Cars,Second Gear Diecast,4
Classic Cars,Welly Diecast Productions,4
Classic Cars,Exoto Designs,3
Classic Cars,Carousel DieCast Legends,3
Classic Cars,Min Lin Diecast,3
Classic Cars,Highway 66 Mini Classics,3
Classic Cars,Unimax Art Galleries,2
Classic Cars,Studio M Art Models,2
Classic Cars,Red Start Diecast,1
Classic Cars,Autoart Studio Design,1
Classic Cars,Motor City Art Classics,1
Motorcycles,Highway 66 Mini Classics,3
Motorcycles,Autoart Studio Design,2
Motorcycles,Welly Diecast Productions,1
Motorcycles,Red Start Diecast,1
Motorcycles,Studio M Art Models,1
Motorcycles,Min Lin Diecast,1
Motorcycles,Exoto Designs,1
Motorcycles,Gearbox Collectibles,1
Motorcycles,Second Gear Diecast,1
Motorcycles,Unimax Art Galleries,1
Planes,Motor City Art Classics,3
Planes,Second Gear Diecast,2
Planes,Gearbox Collectibles,1
Planes,Min Lin Diecast,1
Planes,Red Start Diecast,1
Planes,Unimax Art Galleries,1
Planes,Autoart Studio Design,1
Planes,Classic Metal Creations,1
Planes,Highway 66 Mini Classics,1
Ships,Unimax Art Galleries,2
Ships,Carousel DieCast Legends,2
Ships,Autoart Studio Design,1
Ships,Welly Diecast Productions,1
Ships,Studio M Art Models,1
Ships,Red Start Diecast,1
Ships,Min Lin Diecast,1
Trains,Carousel DieCast Legends,1
Trains,Classic Metal Creations,1
Trains,Gearbox Collectibles,1
Trucks and Buses,Motor City Art Classics,2
Trucks and Buses,Exoto Designs,1
Trucks and Buses,Studio M Art Models,1
Trucks and Buses,Welly Diecast Productions,1
Trucks and Buses,Unimax Art Galleries,1
Trucks and Buses,Highway 66 Mini Classics,1
Trucks and Buses,Carousel DieCast Legends,1
Trucks and Buses,Red Start Diecast,1
Trucks and Buses,Classic Metal Creations,1
Trucks and Buses,Autoart Studio Design,1
Vintage Cars,Exoto Designs,4
Vintage Cars,Studio M Art Models,3
Vintage Cars,Motor City Art Classics,3
Vintage Cars,Carousel DieCast Legends,2
Vintage Cars,Min Lin Diecast,2
Vintage Cars,Red Start Diecast,2
Vintage Cars,Autoart Studio Design,2
Vintage Cars,Gearbox Collectibles,1
Vintage Cars,Highway 66 Mini Classics,1
Vintage Cars,Second Gear Diecast,1
Vintage Cars,Unimax Art Galleries,1
Vintage Cars,Welly Diecast Productions,1
Vintage Cars,Classic Metal Creations,1
